NAME;RA2000;DE2000;P0;P1;AGE;DIST
J0943+1631;145.87542;16.52694;1.087417728071;9.109E-17;1.76;1.89E8
J1010+15;152.5;15.85;;;2.27;0
J0943+22;145.85417;22.93333;0.532913;;2.39;0
J0927+23;141.90417;23.78333;0.761886;;2.52;0
J0947+27;146.84167;27.7;0.85105;;2.33;0
J0815+0939;123.78657;9.66408;0.64516119106;1.39E-16;4.52;7.35E7
J0751+1807;117.78815;18.12739;0.00347877078319;7.786E-21;0.4;7.08E9
J0826+2637;126.7141;26.62327;0.53066051169;1.70932E-15;0.32;4920000.0
J0943+41;145.75;41.15;2.229489;;2.33;0
J1115+5030;168.91;50.50341;1.656439759937;2.492785E-15;0.51;1.05E7
J1012+5307;153.13931;53.11739;0.00525574901412;1.712794E-20;0.7;4.86E9
J1110+58;167.75;58.86667;0.793348;;2.17;0
J0754+3231;118.66953;32.53228;1.442349479143;1.079865E-15;3.92;2.12E7
J0740+41;115.25;41.06667;0.003139215;;1.29;0
J0622+3749;95.54379;37.82044;0.333208231801;2.54237E-14;;208000.0
J0645+5158;101.49617;51.97081;0.00885349668613;4.923E-21;0.77;2.85E10
J0636+5129;99.02019;51.48332;0.00286895284631;3.38E-21;0.2;1.34E10
J0921+6254;140.3089;62.90386;1.56799401848;3.60812E-15;0.79;6890000.0
J1101+65;165.5;65.11667;3.63132;;1.57;0
J0750+57;117.5;57.0;1.174875;;2.19;0
J0742+66;115.5;66.33333;0.00288570374;;0.87;0
J0746+66;116.5;66.6;0.4076702;;2.38;0
J0700+6418;105.15751;64.30311;0.19567094516627;6.853E-19;0.49;4.52E9
J0737+69;114.25;69.23333;6.82424;;0.94;0
J0910+77;137.5;77.46667;1.57905;;;0
J1122+78;171.49167;78.38333;0.0042013838;;0.64;0
J0814+7429;123.74792;74.48492;1.292241446862;1.68114E-16;0.43;1.22E8
J0645+80;101.5;80.15;0.657873;;3.95;0
J0653+8051;103.31287;80.86673;1.214440511516;3.798787E-15;3.37;5070000.0
J0614+83;93.5;83.23333;1.039203;;4.04;0
J0849+8028;132.25628;80.48309;1.60222797387;4.463E-16;3.38;5.69E7
J1543+0929;235.91177;9.48787;0.748448416229;4.3248E-16;5.9;2.74E7
J1537+1155;234.29151;11.93206;0.0379044411783;2.422494E-18;1.05;2.48E8
J1612+2008;243.09763;20.13842;0.4266459810253;3.727E-17;1.43;1.81E8
J1549+2113;237.42059;21.22414;1.262471311613;8.541E-16;2.33;2.34E7
J1538+2345;234.52529;23.75111;3.44938495332;6.889E-15;0.98;7930000.0
J1404+12;211.16667;12.05;2.65027;;1.9;0
J1453+1902;223.44049;19.03673;0.00579230273497;1.162E-20;0.95;7.9E9
J1503+2111;225.9775;21.18592;3.31400150122;1.4E-16;0.72;3.75E8
J1532+2745;233.04318;27.76372;1.124835742767;7.7956E-16;0.98;2.29E7
J1640+2224;250.06977;22.40246;0.00316331581791;2.8276E-21;1.45;1.77E10
J1635+2418;248.85742;24.31314;0.4905065128003;1.19317E-16;2.27;6.51E7
J1649+2533;252.43429;25.55194;1.0152573918;5.594E-16;2.91;2.88E7
J1652+2651;253.01279;26.86122;0.9158034972;6.537E-16;2.93;2.22E7
J1605+3249;241.32717;32.82167;6.88;;;0
J1641+3627A;250.42033;36.45429;0.010377509452;;6.5;0
J1641+3627B;250.42083;36.46028;0.003528072;;6.5;0
J1641+3627C;250.42083;36.46028;0.003722;;6.5;0
J1641+3627D;250.42083;36.46028;0.003118;;6.5;0
J1641+3627E;250.42083;36.46028;0.002487;;6.5;0
J1630+37;247.5;37.0;0.00332;;0.85;0
J1754+5201;268.59554;52.02007;2.39139679486;1.5641E-15;3.56;2.42E7
J1544+4937;236.0187;49.63202;0.00215928839043;2.933E-21;2.3;1.17E10
J1629+43;247.25;43.98333;0.1811729;;0.4;0
J1710+49;257.62083;49.33333;0.0032202231;;0.39;0
J1706+59;256.75;59.16667;1.476687;;2.97;0
J1342+2822A;205.54583;28.37556;0.002545;;9.9;0
J1342+2822C;205.54583;28.37556;0.002166;;9.9;0
J1342+2822B;205.5462;28.37782;0.00238942075779;1.858E-20;9.9;2.04E9
J1342+2822D;205.5425;28.37667;0.00544297516;;9.9;0
J1518+4904;229.57;49.07618;0.04093498890833;2.719E-20;0.7;2.39E10
J1509+5531;227.35679;55.52567;0.739681922904;4.99821E-15;2.1;2340000.0
J1647+66;252.0;66.06667;1.599819;;1.8;0
J1320+67;200.0;67.5;1.02862;;2.33;0
J1434+7257;218.4989;72.95736;0.04174114783993;5.5E-19;0.75;1.2E9
J1649+80;252.5;80.75;0.0020210978;;3.38;0
J1439+76;219.75;76.91667;0.947903;;1.78;0
J1412+7922;213.23267;79.36769;0.059198212396;4.0E-19;;2.34E9
J1321+8323;200.44242;83.39414;0.670037418386;5.663E-16;0.77;1.87E7
J1627+86;246.75;86.9;0.395785;;3.65;0
J2129+1210G;322.49146;12.16592;0.037660166953;2.0E-18;12.9;2.98E8
J2129+1210A;322.49269;12.16701;0.11066470446904;-2.10281E-17;12.9;0
J2129+1210D;322.49281;12.16659;0.0048028043457;-1.075E-17;12.9;0
J2129+1210H;322.49243;12.16651;0.0067433942397;2.4E-20;12.9;4.45E9
J2129+1210B;322.4943;12.16675;0.05613303552473;9.5406E-18;12.9;9.32E7
J2129+1210F;322.48824;12.16747;0.0040270427071;3.2E-20;12.9;1.99E9
J2129+1210E;322.49245;12.16906;0.00465143521539;1.78E-19;12.9;4.14E8
J2129+1210C;322.50502;12.17728;0.03052929614864;4.98789E-18;12.9;9.7E7
J2045+0912;311.44727;9.2081;0.3955551117394;1.952E-16;1.99;3.21E7
J2047+1053;311.75;10.88333;0.00429;;2.23;0
J2116+1414;319.0573;14.23918;0.4401530669475;2.89263E-16;4.43;2.41E7
J2050+13;312.5;13.01667;1.22;;5.4;0
J2046+1540;311.66395;15.676;1.1382856833155;1.82318E-16;2.56;9.89E7
J2205+1444;331.32186;14.74203;0.93801422813;9.0E-16;3.33;1.65E7
J2124+1407;321.19406;14.12204;0.694053479086;7.6801E-16;2.09;1.43E7
J2111+2106;317.88804;21.10194;3.9538529596;3.24E-15;5.64;1.93E7
J2139+2242;324.86208;22.71167;1.08351351364;1.421E-15;4.71;1.21E7
